0.0000 	 0.0000
0.0873 	 0.0872
0.1745 	 0.1736
0.2618 	 0.2588
0.3491 	 0.3420
0.4363 	 0.4226
0.5236 	 0.5000
0.6109 	 0.5736
0.6981 	 0.6428
0.7854 	 0.7071
0.8727 	 0.7660
0.9599 	 0.8192
1.0472 	 0.8660
1.1345 	 0.9063
1.2217 	 0.9397
1.3090 	 0.9659
1.3963 	 0.9848
1.4835 	 0.9962
1.5708 	 1.0000
1.6581 	 0.9962
1.7453 	 0.9848
1.8326 	 0.9659
1.9199 	 0.9397
2.0071 	 0.9063
2.0944 	 0.8660
2.1817 	 0.8192
2.2689 	 0.7660
2.3562 	 0.7071
2.4435 	 0.6428
2.5307 	 0.5736
2.6180 	 0.5000
2.7053 	 0.4226
2.7925 	 0.3420
2.8798 	 0.2588
2.9671 	 0.1736
3.0543 	 0.0872
3.1416 	 0.0000
3.2289 	 -0.0872
3.3161 	 -0.1736
3.4034 	 -0.2588
3.4907 	 -0.3420
3.5779 	 -0.4226
3.6652 	 -0.5000
3.7525 	 -0.5736
3.8397 	 -0.6428
3.9270 	 -0.7071
4.0143 	 -0.7660
4.1015 	 -0.8192
4.1888 	 -0.8660
4.2761 	 -0.9063
4.3633 	 -0.9397
4.4506 	 -0.9659
4.5379 	 -0.9848
4.6251 	 -0.9962
4.7124 	 -1.0000
4.7997 	 -0.9962
4.8869 	 -0.9848
4.9742 	 -0.9659
5.0615 	 -0.9397
5.1487 	 -0.9063
5.2360 	 -0.8660
5.3233 	 -0.8192
5.4105 	 -0.7660
5.4978 	 -0.7071
5.5851 	 -0.6428
5.6723 	 -0.5736
5.7596 	 -0.5000
5.8469 	 -0.4226
5.9341 	 -0.3420
6.0214 	 -0.2588
6.1087 	 -0.1736
6.1959 	 -0.0872
6.2832 	 -0.0000
